Variable,Data Type,Total Rows,Non-Missing,Missing Count,Missing %,Status
HEATTBCO,float64,457670,233313,224357,49.0216,PARTIALLY MISSING
POORHLTH,float64,457670,268249,189421,41.3881,PARTIALLY MISSING
_HADCOLN,float64,457670,294788,162882,35.5894,PARTIALLY MISSING
_HADSIGM,float64,457670,294788,162882,35.5894,PARTIALLY MISSING
COLNCNCR,float64,457670,299425,158245,34.5762,PARTIALLY MISSING
HADSIGM4,float64,457670,301072,156598,34.2164,PARTIALLY MISSING
_CHISPNC,float64,457670,323776,133894,29.2556,PARTIALLY MISSING
CELLSEX3,float64,457670,372357,85313,18.6407,PARTIALLY MISSING
HHADULT,float64,457670,375709,81961,17.9083,PARTIALLY MISSING
CSTATE1,float64,457670,375938,81732,17.8583,PARTIALLY MISSING
CADULT1,float64,457670,375938,81732,17.8583,PARTIALLY MISSING
CELLFON5,float64,457670,375939,81731,17.8581,PARTIALLY MISSING
LANDLINE,float64,457670,375939,81731,17.8581,PARTIALLY MISSING
PVTRESD3,float64,457670,375940,81730,17.8578,PARTIALLY MISSING
SAFETIME,float64,457670,375940,81730,17.8578,PARTIALLY MISSING
CTELNUM1,float64,457670,375940,81730,17.8578,PARTIALLY MISSING
_LCSCTSN,float64,457670,393433,64237,14.0357,PARTIALLY MISSING
_LCSELIG,float64,457670,406226,51444,11.2404,PARTIALLY MISSING
_LCSSMKG,float64,457670,406226,51444,11.2404,PARTIALLY MISSING
_LCSPSTF,float64,457670,406226,51444,11.2404,PARTIALLY MISSING
