Variable_Name,Actual_Name,Data_Type,Total_Rows,Non_Missing,Missing_NaN,Missing_Pct,BRFSS_Special_Codes,BRFSS_Codes_Pct,Total_Issues,Total_Issues_Pct
_BMI5,_BMI5,float64,457670,414633,43037,9.4035,0,0.0,43037,9.4035
_BMI5CAT,_BMI5CAT,float64,457670,414633,43037,9.4035,0,0.0,43037,9.4035
EMPLOY1,EMPLOY1,float64,457670,454367,3303,0.7217,152015,33.215,155318,33.9367
EDUCA,EDUCA,float64,457670,457663,7,0.0015,2356,0.5148,2363,0.5163
PHYSHLTH,PHYSHLTH,float64,457670,457665,5,0.0011,20865,4.559,20870,4.5601
MENTHLTH,MENTHLTH,float64,457670,457667,3,0.0007,16762,3.6625,16765,3.6631
PERSDOC2,PERSDOC3,float64,457670,457667,3,0.0007,4610,1.0073,4613,1.0079
EXERANY2,EXERANY2,float64,457670,457667,3,0.0007,1312,0.2867,1315,0.2873
CHECKUP1,CHECKUP1,float64,457670,457668,2,0.0004,5332,1.165,5334,1.1655
_TOTINDA,_TOTINDA,float64,457670,457670,0,0.0,1315,0.2873,1315,0.2873
_DRNKWK3,_DRNKWK3,float64,457670,457670,0,0.0,0,0.0,0,0.0
_SMOKER3,_SMOKER3,float64,457670,457670,0,0.0,32022,6.9967,32022,6.9967
SEXVAR,SEXVAR,float64,457670,457670,0,0.0,0,0.0,0,0.0
_AGE80,_AGE80,float64,457670,457670,0,0.0,8314,1.8166,8314,1.8166
